Label,ENERGY STAR Unique ID,Brand Name,Model Name,Total Volume (cu. ft.),Daily Energy Consumption at -80ºC (kWh/day),Daily Energy Consumption at -70ºC (kWh/day),Depth (in),Height,Width,Surface Area (sq. in.),Average Energy Consumption(kWh/year)
Nuaire | 4514272,4514272.0,Nuaire,NU-99829VFT,29.27,9.57,6.86,38.58,77.95,45.08,1739.19,3493.05
Midea | 4481432,4481432.0,Midea,MD-86L860BS,29.62,10.54,6.31,39.17,77.95,46.26,1812.0,3847.1
PHCbi | 3995417,3995417.0,PHCbi,MDF-DU901VHA-PA,30.1,10.13,7.58,34.19,77.0,45.25,1547.1,3697.45
FARRAR | 4439590,4439590.0,FARRAR,Cyclone,33.09,10.85,9.82,44.5,77.25,49.5,2202.75,3960.25
Thermo Scientific | 3891777,3891777.0,Thermo Scientific,TSX70086LA,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
Thermo Scientific | 3891778,3891778.0,Thermo Scientific,TSX70086FA,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
VWR-Premium Series ULT | 3891779,3891779.0,VWR-Premium Series ULT,77618-798,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
Thermo Scientific | 3891780,3891780.0,Thermo Scientific,TSX70086CA,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
VWR-Premium Series ULT | 3891781,3891781.0,VWR-Premium Series ULT,77618-802,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
VWR-Premium Series ULT | 3891782,3891782.0,VWR-Premium Series ULT,471-1358,33.56,9.67,6.62,37.25,78.0,45.5,1694.88,3529.55
Haier | 4437476,4437476.0,Haier,DW-86L959BPT,33.9,13.19,9.07,39.29,77.95,51.02,2004.58,4814.35
Haier | 4437477,4437477.0,Haier,DW-86L959BP,33.9,13.19,9.07,39.29,77.95,51.02,2004.58,4814.35
Haier | 4510220,4510220.0,Haier,DW-86L960BP,33.9,5.6,4.3,39.29,77.56,51.02,2004.58,2044.0
Haier | 4510221,4510221.0,Haier,DW-86L960BPT,33.9,5.6,4.3,39.29,77.56,51.02,2004.58,2044.0
